ASV,downstreamASV,responseTime,responseCode,downstreamResponseTime,latencyMilliseconds
1,3,2863.468142716304,404,1193.4709440728977,5051.530936135132
3,4,2953.6170474076007,302,1432.3175036696537,4928.277937072516
2,2,1583.0354229003697,302,1878.2079189715944,15068.934120150614
4,4,3239.606078732784,410,446.50655530219944,9507.9232212114
4,1,2858.713573086544,301,416.55574204729135,9423.78702619597
3,4,2927.843159899671,302,1351.4887015775425,4892.995486947191
1,1,1668.4151532968697,301,1543.20023765702,14681.744877531144
3,1,2937.3205210245296,503,355.6440968567698,9443.37699159681
3,1,1585.771243477014,404,1487.5149782801163,15212.893682945027
1,3,3017.630251342708,404,1609.076823950349,4859.420159782116
3,3,3159.579343959449,302,1650.9528548857975,5067.779338961939
1,4,1579.294067248677,302,1851.7004963192037,15135.355883396829
1,2,2979.2232903848108,503,515.8855150120492,9442.554381028573
4,4,2942.1079278398324,301,1504.9956276032776,4960.884623664901
1,4,2971.069421609596,410,1310.5805250231124,4992.57974850272
3,2,2994.9495196620815,410,1554.1385895593085,4799.828465915706
4,4,2979.6649824340916,301,1336.2428980825766,5095.2345730660445
3,4,3190.3760120087627,404,654.0140752756053,9461.639018999058
3,2,1542.1458563730425,500,1434.6970451413538,14953.099795519698
3,2,2867.97165135422,200,1596.8872108944586,5018.052173063587
1,3,2969.115195902836,410,459.8918858709516,9573.558580743438
2,4,1465.2899654410014,301,1388.0705355954387,15051.747516256479
1,3,1496.7745497462827,200,1411.0852221002121,15147.673487833285
1,2,2920.9415721889914,404,1605.918225134622,5139.566734605416
3,1,1590.0388892117767,302,1687.326950637173,14974.106273418947
3,1,3191.773659437541,500,1224.1791883342896,5047.825149854357
1,4,1726.644523537147,302,1409.6332413856894,14753.873608426973
2,3,3029.1335569730154,200,1487.8276502987121,5108.152272704834
3,2,1463.5494338534966,404,1801.0355497248104,15472.326739726746
4,2,2959.879746538418,503,1406.7669452618693,5044.543996825885
4,2,3089.9242452329036,301,1258.579392547427,4985.408949489757
1,1,2987.268919461291,302,468.6068933729738,9404.898685164937
4,3,1640.410242682162,410,1237.9990976339293,14820.185509283174
4,4,1451.5514298416174,302,1655.424309546155,15072.180356214658
1,4,1473.232204582707,410,1260.3929862226692,15063.013698426003
3,4,3130.218132842521,500,1289.4577939331668,4890.168268646762
2,4,3038.0487995526023,302,460.9280291449837,9473.31120224844
2,1,1428.998010673251,503,1525.569754367065,14920.723139829808
1,2,3061.303853052432,404,1435.9865467829866,4984.312040428567
2,4,2932.116878992395,500,1506.8305905019017,5053.687005390797
4,3,2937.4705828280626,410,1673.1891118846663,4982.13893292401
3,4,3088.2528940235243,500,442.54169702684186,9686.620160442351
2,3,1345.421319312767,410,1490.1586451988676,15034.102901159957
3,4,2913.5582038798,301,1325.6779367520976,5066.526057132861
1,3,1415.9920756396089,302,1724.2601022354474,14980.69525512881
4,1,1373.3449112308476,404,1776.2455257008723,15454.554370917844
4,2,1326.4343561704204,301,1285.1732848853799,15102.162201283694
2,1,3017.318868808837,302,1387.2795753182666,4936.356733707347
2,3,2953.186722087909,302,1573.5088715733414,5063.057524750831
1,4,1532.8952480169357,301,1529.923914481429,15072.858367108542
2,4,3005.3607958370712,301,1659.6642302599275,5037.443897859143
4,2,3042.9571097152048,200,455.1470070166317,9166.096163045717
4,2,2901.41042469115,410,1586.358819891739,4957.281895527424
3,1,2948.471580526121,200,1404.0485022311495,5032.960424411092
1,3,3064.416318995646,500,669.3338663846584,9375.074055598452
2,2,2846.0789159054616,410,1352.8016718539313,5102.748252022942
3,1,1582.6322169036525,410,1281.4217296282693,15094.207993744012
4,3,1513.6611615574639,302,1594.0654237617618,15148.319811812833
2,1,1552.3045522836217,503,1346.1898788555575,14859.798128866829
2,3,3235.2407419759725,410,580.7104272255366,9651.740928439807
1,1,2974.973441145009,500,1349.724334849221,4997.689966568041
2,4,1377.6088428272087,302,1379.469145043045,15226.485796252062
3,2,1693.3669201465214,301,1927.8614526024926,15124.08532773473
3,1,2957.102489474267,410,477.64789054668387,9648.510310892614
1,4,1668.1828654782175,301,1803.6135102507833,14993.193669706427
2,1,2915.0360719346863,200,1458.7162384342848,4890.604992186262
4,3,2835.1269480990886,302,407.8233191273939,9413.710764710882
1,2,3076.2171956953007,301,556.3963722955464,9745.647061046386
1,4,1484.6176040134424,301,1482.0631014377989,15106.606328979993
1,4,2934.099889342386,200,684.3140225330204,9699.988038141668
1,4,2771.1995894485176,200,571.7141032587509,9177.839060972887
3,2,2834.4651838691348,500,1263.666615696944,4955.863908944637
2,4,3118.314763291383,302,1194.4378831329698,4896.83560586444
1,4,2944.9618346873835,500,1464.8300036085727,5072.076500851834
2,1,1381.864238489579,404,1414.2628016003944,14698.19877047982
3,3,2964.1801206093633,503,575.2294629105692,9471.193480352149
3,4,3029.7421142235858,500,1498.0770089021908,4981.734055953903
2,3,1468.5806542195596,500,1430.5702310476763,15173.22994514657
2,3,3127.4333104919624,302,1453.8232119299437,5119.6424821491155
4,3,2940.5409467051295,302,1414.158389142548,5071.851943923391
3,4,1450.105500916381,200,1287.8370853545052,15159.33322002728
4,3,2986.92412237255,500,480.3991793231309,9795.113117378278
2,1,1419.03448982718,302,1492.2116361816124,15129.354065226793
2,3,3019.2436998645226,503,1484.8309898400664,5091.573596242204
2,4,2875.400132577272,410,1663.2443026671806,4821.964673377179
4,1,1548.6960982282528,301,1473.7359561273329,14844.341832772536
4,1,3167.1380247655657,302,1604.2542562759875,5194.764100978081
1,3,1619.722683558626,500,1443.2828511080345,14782.037965318747
2,1,2936.500487903315,404,1499.937838306612,4964.491163379915
3,1,1510.800664387372,301,1364.4767607479487,15017.257349477839
4,2,2958.4458936551187,503,1807.3039679618005,4938.866394526182
2,1,3043.5783998193097,500,1396.9128598550487,5217.548223938116
1,3,3155.6172721373746,301,1793.5728373953514,4981.547122612358
3,1,3099.915447748,503,1543.4212383205484,4947.0503125638415
2,4,2945.723271479436,503,663.2035818597067,9784.190366111401
4,4,3041.406865208134,503,427.4611490307722,9305.021378252879
4,4,2958.754774727984,301,1759.9544402687184,4963.352756811118
3,4,2963.972114388835,410,453.4069043892928,9404.255289140621
2,1,2796.8116959888416,302,1256.6113677514131,4840.989077709616
1,1,3058.372465182182,200,610.2720510819784,9667.92736243633
3,2,3171.2457714940883,404,1512.4542756761973,5062.083903731695
3,1,2960.0535250262915,301,1538.2357915018297,5006.4741682118
1,3,2856.4297549726753,301,1663.5650111938837,4980.955566601341
4,4,2967.2091843815474,200,1683.1222368018464,4931.163925712683
3,4,2904.0778047865415,404,1692.4775269196568,5041.893982033656
2,1,1559.373936440318,200,1344.440150660939,15141.346927637089
2,1,3075.3971359477414,404,1335.1951621224816,5072.167708634392
3,3,1574.8010923011577,503,1541.0908109249776,15155.008251189063
3,3,3053.165229225461,301,1723.4835924275742,5234.8603223351165
3,2,2931.631197088108,404,1363.03214206038,4873.074267837988
4,3,2992.8253760553002,503,1563.2290881084284,4999.003765779585
4,2,1638.478809422869,503,1833.040025673965,14882.904655499418
4,1,1452.8806565451791,500,1471.2585413019951,14610.27958528405
4,4,2943.2503234109895,500,640.7042983555731,9416.891556002434
2,4,1679.3147075285144,410,1667.5129841013495,15074.79045108546
1,2,3150.735216166089,410,1317.696614952228,5056.819970393247
1,4,2974.5862627853603,410,230.22136110173767,9581.442887848052
3,2,2976.3998903843853,410,438.99713716101996,9181.520383647441
2,4,3068.1579077680517,302,1909.3524034990862,4980.169138078783
1,2,3112.6729145329327,500,265.88293777717763,9540.428740138006
1,1,1403.072628976551,301,1487.2376164015623,15058.70988700316
2,4,1406.3010121137702,404,1273.6734373669665,15047.090549435985
4,4,3117.392133142628,500,652.6435676780981,9502.845150846328
2,2,1551.3019687567967,410,1524.025535660865,14628.251659697271
1,3,2960.548945432764,302,1374.99773594103,5076.239507247958
4,4,1586.3236843587467,301,1358.598585166878,14610.498360395753
3,2,1696.4090874896506,503,1515.407103780259,14758.823947625118
1,3,1371.9645266284351,410,1746.8547124094341,15116.083085885755
2,1,2906.40620995935,301,1238.5238747892454,4972.897426972455
3,1,3089.7639126198383,302,496.73465563670186,9350.20104222457
1,4,2841.1576946746563,200,541.7494419694644,9552.480369804787
4,2,2972.6674729575275,301,1502.0236892507387,4912.8828933449695
1,1,3020.149795700163,200,1623.6939009071589,4872.460581272778
2,3,1644.6606756359927,302,1450.5928030652153,14678.984771162191
4,1,2776.9418636616874,302,544.0923609595976,9618.413950786295
1,1,2885.1002154656685,410,465.6692759825212,9499.124197162184
4,4,1713.7258001056935,200,1713.5825166933248,15022.274651195468
3,1,1563.6417157824558,503,1595.8182913162407,14987.022036571037
3,1,1394.9347867110077,503,1484.130812655546,15000.022372110621
4,3,3036.4572103498103,302,361.14447364485466,9456.720071439358
4,3,2994.6688477565335,302,450.7404255307075,9161.115563841156
2,2,2888.3718685211807,500,1634.2302886105647,4956.365680771331
1,2,3034.49882579729,503,417.12549728122605,9547.961975469785
4,4,1354.8560110836304,404,1561.2136450884773,14913.763730801393
2,3,3129.6488414437913,301,1315.4315118438806,5017.163679694721
3,2,1504.943876570304,404,1621.11342201568,15270.69592957211
3,3,3057.657773506397,503,452.1172258414334,9220.232527956914
1,3,3039.933146110669,410,1468.6071689470625,4761.610667868216
2,1,3046.340804801688,404,367.30957770131806,9492.975244298734
4,1,3015.0636513628515,301,666.6724965110324,9275.205279029007
3,3,1369.4962362723472,302,1447.4133207641225,15107.273051647675
2,1,3078.985068894825,301,509.4669400529097,9833.317220741736
4,3,3090.8543586737596,500,1071.4493610587851,4967.767484888183
3,3,3066.2304784283033,503,401.2010133450727,9298.779005311275
2,1,1555.68822174557,301,1520.5873472815624,14876.150511729316
2,2,3211.316641510605,200,1907.4505430465642,4901.390523551855
3,3,1288.2400411554163,301,1512.8617099684727,14814.871528120424
4,2,1699.5120911911943,503,1619.5281595235792,15252.97241091613
1,1,3160.4446308413308,410,381.2862393878402,9439.898923589413
2,4,3051.673659363246,503,1541.3149590814503,4943.967792867835
2,4,2966.1976423696233,302,542.479576543978,9592.23216666491
4,3,1589.098019583179,302,1555.412327823046,14914.254957473646
3,2,2882.99615037975,503,503.67637533231857,9578.343227164243
